problem_id,category,correct_answer,solver_1_initial_answer,solver_2_initial_answer,solver_3_initial_answer,solver_1_refined_answer,solver_2_refined_answer,solver_3_refined_answer,judge_winner,debate_final_answer,debate_correct,voting_answer,voting_correct,consensus_type,improved_after_refinement,judge_correct_when_disagreement,single_gpt_correct,single_claude_correct,single_gemini_correct,single_grok_correct
game_001,game_theory,B,B,B,B,B,B,B,solver_1,B,True,B,True,full,False,,True,True,False,True
game_002,game_theory,defect,Defect,Defect,defect,Defect,Defect,defect,solver_1,Defect,True,Defect,True,full,False,,True,True,True,True
game_003,game_theory,yes,yes,yes,yes,yes,yes,yes,solver_2,yes,True,yes,True,full,False,,True,True,True,True
game_004,game_theory,1,1,1,1,1,1,1,solver_2,1,True,1,True,full,False,,True,True,False,True
logic_001,logic_constraint,knave,knave,Knave,knave,knave,,knave,solver_1,knave,True,knave,True,full,False,,True,True,True,True
logic_002,logic_constraint,B,B,B,B,B,B,B,solver_1,B,True,B,True,full,False,,True,True,False,True
logic_003,logic_constraint,B,B,B,B,B,,B,solver_1,B,True,B,True,full,False,,True,True,True,True
logic_004,logic_constraint,30,30,30,30,30,30,30,solver_1,30,True,30,True,full,False,,True,True,True,True
logic_005,logic_constraint,7.5,7.5,7.5,7.5,7.5 degrees,,7.5,solver_1,7.5 degrees,False,7.5,True,full,False,False,True,True,True,True
logic_006,logic_constraint,240,240,240,321,240,240,240,solver_1,240,True,240,True,partial,True,,True,True,False,True
logic_007,logic_constraint,Apples & Oranges,Apples & Oranges,Apples & Oranges,Apples & Oranges,Apples & Oranges,Apples & Oranges,Apples & Oranges,solver_1,Apples & Oranges,True,Apples & Oranges,True,full,False,,True,True,False,True
math_001,mathematical_reasoning,153,153,,153,153,,,solver_1,153,True,153,True,full,False,,True,True,False,True
math_002,mathematical_reasoning,24,24,24,24,24,,24,solver_1,24,True,24,True,full,False,,True,True,True,True
math_003,mathematical_reasoning,24,24,24,24,24,360 has 24 positive divisors.,24,solver_2,360 has 24 positive divisors.,False,24,True,full,False,False,True,True,True,True
math_004,mathematical_reasoning,2318,2318,2318,2318,2318,2318,2318,solver_1,2318,True,2318,True,full,False,,True,True,False,True
math_005,mathematical_reasoning,0.375,0.375,0.375,0.375,0.375,,0.375,solver_3,0.375,True,0.375,True,full,False,,True,True,False,True
math_006,mathematical_reasoning,1,1,1,1,1,1,1,solver_1,1,True,1,True,full,False,,True,True,True,True
math_007,mathematical_reasoning,40320,40320,40320,40320,40320,40320,40320,solver_1,40320,True,40320,True,full,False,,True,True,False,True
math_008,mathematical_reasoning,60,60,60,60,60,60,60,solver_1,60,True,60,True,full,False,,True,True,False,True
phys_001,physics_science,0.289,0.289,0.289,0.289,0.289,0.289,,solver_1,0.289,True,0.289,True,full,False,,True,True,False,True
phys_002,physics_science,5.1,5.1,5.1,5.1,5.1,,5.1,solver_1,5.1,True,5.1,True,full,False,,True,True,True,True
phys_003,physics_science,54,54,54,54,54 meters,54 m,54,solver_1,54 meters,False,54,True,full,False,False,True,True,True,True
phys_004,physics_science,1.0,1.0,1.0,1.0,1.0,1.0,1.0,solver_2,1.0,True,1.0,True,full,False,,True,True,True,True
phys_005,physics_science,41860,41860,41860,41860,41860 J,41860 J,41860 J,solver_2,41860 J,False,41860,True,full,False,,True,True,True,True
phys_006,physics_science,2.48,2.48,2.48,2.48,2.48,2.48,2.48 eV,solver_2,2.48,True,2.48,True,full,False,True,True,True,True,True
